open,high,low,volume,amount,close
30.700001,30.75,30.1,30100376,29.794941,30.450001
30.700001,31.799999,30.6,35988041,30.969126,31.65
31.549999,31.9,31.25,22186702,30.675579,31.35
31.35,31.65,31.15,19112886,30.724503,31.4
31.299999,32.150002,31.25,28608162,31.311596,32
32.099998,32.25,31.5,17378205,30.871275,31.549999
31.5,31.549999,30.950001,17746776,30.773428,31.450001
31.299999,31.549999,31,15036787,30.57773,31.25
31.299999,31.75,31.1,20451354,30.479881,31.15
31.15,31.299999,30.799999,15900909,30.430958,31.1
30.799999,31,30.65,16223346,30.23526,30.9
30.25,30.549999,29.9,21124501,29.452471,30.1
30,30.35,29.799999,20714804,29.256773,29.9
30,30.200001,29.85,11190067,29.305698,29.950001
30.15,30.25,28.9,24073157,28.425058,29.049999
29,29.299999,28.5,25315923,28.425058,29.049999
29.25,29.35,28.049999,25688389,27.837967,28.450001
28.700001,30,28.549999,24011383,29.109999,29.75
29.35,29.549999,29.049999,24515377,29.299999,29.299999
29.35,29.6,28.700001,20714754,29.25,29.25
29.35,29.799999,29.25,18924714,29.549999,29.549999
29.799999,29.950001,29.5,15645270,29.549999,29.549999
29.450001,29.85,29.450001,18553627,29.75,29.75
29.450001,29.9,29.299999,17307144,29.75,29.75
29.700001,29.9,28.9,21893458,29,29
29.049999,29.6,28.75,17767070,29.450001,29.450001
29.450001,30.1,29.450001,19169426,30,30
30.049999,30.25,29.6,15961683,29.700001,29.700001
29.6,30.049999,29.549999,14801245,29.950001,29.950001
30.1,31.1,30,32993224,31,31
31.1,31.200001,30.4,20754742,30.65,30.65
30.5,31.15,30.5,20450726,31.049999,31.049999
30.799999,31.200001,30.65,15414252,30.799999,30.799999
30.799999,31.049999,30.65,14450589,30.799999,30.799999
30.700001,30.950001,30.1,16034640,30.4,30.4
30.4,30.549999,30.049999,12066316,30.299999,30.299999
30.5,31.5,30.35,21452288,31.35,31.35
31.15,31.75,31.1,25007755,31.6,31.6
31.85,31.950001,31.299999,20054939,31.4,31.4
31.35,32.049999,31.299999,21957903,31.85,31.85
31.9,32.25,31.700001,20272480,31.799999,31.799999
31.6,31.799999,31.35,21587323,31.6,31.6
31.5,31.799999,31.450001,19540357,31.6,31.6
31.5,32.099998,31.5,22430650,32.049999,32.049999
32.099998,33.450001,32.099998,52325898,32.650002,32.650002
32.200001,32.599998,31.299999,49931761,31.35,31.35
31.549999,33.75,31.35,70456056,33.400002,33.400002
33.25,34.599998,32.950001,64390245,34.200001,34.200001
34.099998,34.349998,33.25,32209696,34,34
34.099998,34.200001,33,36881278,33.400002,33.400002
33.400002,33.900002,33.299999,30539905,33.549999,33.549999
33.450001,33.75,33.25,19970390,33.349998,33.349998
33.400002,33.5,32.799999,22044563,33,33
33.200001,33.75,33.150002,21927939,33.400002,33.400002
33.349998,33.549999,33.25,14138000,33.299999,33.299999
33.400002,33.599998,33.25,17673451,33.549999,33.549999
33.549999,34.549999,33.400002,40936919,34.450001,34.450001
34.299999,34.700001,34.049999,26013767,34.150002,34.150002
34.150002,34.25,33.200001,28981855,33.349998,33.349998
33.049999,33.200001,32.349998,24893422,32.400002,32.400002
32.150002,33.099998,32.150002,25441848,33.049999,33.049999
33.049999,33.599998,32.950001,20360378,33.549999,33.549999
33.599998,36.099998,33.549999,111083657,35.25,35.25
